X,Y,OBJECTID,FacilityMasterID,FacilityName,Category,CategoryStyle,SiteStreet,SiteCity,SiteTelephone,WorkArea
-80.358080745561,43.3955090282491,11468,E4665DDB-2876-4C32-8C80-500F1776451B,KING VARIETY,"Food, General",Food store convenience / Variety,720 KING ST E,Cambridge,(519) 653-5943,CK2
-80.5553457693145,43.5318470177188,11469,9625C2A9-A439-4C27-AE95-669C4FA4C8A9,TIM HORTONS,"Food, General",Restaurant,1229 KING ST N,St. Jacobs,(519) 664-1544,KW8
-80.5253687118669,43.4842310984124,11471,126A3305-190C-4D61-B0E8-889AB4E101EA,Lakelands Diet Delivery,"Food, General",Caterer / Commissary,401 Weber ST N,Waterloo,(226) 444-5163,KW10
-80.536424588017,43.4149921920541,11473,2E4D9684-C487-4F93-8AD5-1C5364A8FDAD,DRIFTWOOD PARK CHILD CARE CENTRE,"Food, Institutional",Child Care Onsite Prep./Recreational Camp/Co-op,50 PARKLAND CRES,Kitchener,(519) 570-2520,KW4
-80.4445054492526,43.4521308044326,11477,E65B7458-F178-4285-9926-F46520CAD2B0,PIZZA PIZZA,"Food, General",Restaurant,1020 OTTAWA ST N,Kitchener,(519) 748-2755,KW3
-80.5117497343692,43.4927771657933,11478,E9CAF377-B3E3-46EE-B29C-A3DFBB1A2BBD,PINEHAVEN NURSING HOME,"Food, Institutional",Long Term Care,229 LEXINGTON RD,Waterloo,(519) 885-0255,IPAC A
-80.5182865966062,43.4547086537424,11479,BE377FFB-514D-4867-BA79-B33AB771C459,ARABELLA PARK BEER BAR,"Food, General",Restaurant,740 BELMONT Ave W,Kitchener,,KW7
-80.5402220947934,43.4691954775523,11480,03D3DFCC-E0DA-46E2-8906-8244BDF962CF,UW - ASU TUCK SHOP (A1),"Food, General",Food store convenience / Variety,200 UNIVERSITY Ave W,Waterloo,(519) 888-4567,KW15
-80.4034540762777,43.3286262826703,11482,21C6C3CC-6DA5-4439-A078-E5EBC641F6D4,MOORCROFT FARMS,"Food, Processing Plant",Cannery,1798 DUMFRIES RD,North Dumfries,(519) 621-2639,CK2
-80.5462955672989,43.4676893729429,11485,6AD140AE-AB33-4045-B55D-8522A4613975,ST. PAUL'S UNITED COLLEGE - WATSON'S EATERY,"Food, General",School Cafeteria,190 WESTMOUNT RD N,Waterloo,(519) 885-1460,KW15
-80.7094078916537,43.3779509678592,11487,6BDAD2B8-9577-40F3-A1EB-A122D19270EF,MEME'S CAFE FOOD SHOP & COFFEE HOUSE,"Food, General",Restaurant,102 PEEL ST,New Hamburg,(519) 662-2828,KW4
-80.5499256024472,43.4972754420298,11488,194E31EE-215B-4D47-9445-0A7598DDEA92,PITA FACTORY,"Food, General",Food Take Out,584 WEBER ST N,Water,,KW10
-80.3200094783565,43.3931243145734,11491,35A9EB04-1E4C-4B2C-B6D3-D565B489A761,BIG ORANGE,"Food, General",Food Take Out,355 HESPELER RD,Cambridge,(519) 781-8869,CK1
-80.6894015198432,43.4011578596097,11493,DA9B85B3-76F7-4AF5-A092-85DF03A399FB,WATERLOO OXFORD DISTRICT HIGH SCHOOL,"Food, General",School Cafeteria,1206 SNYDER'S RD W,Wilmot,(519) 634-5441,KW4
-80.393907440492,43.4067540787081,11494,19CE20EC-03AD-4637-94EF-797A166B98D7,TIM HORTONS,"Food, General",Restaurant,4396 KING ST E,Kitchener,(519) 650-0331,CK4
