"INSPECTION_ID","FACILITYID","INSPECTION_DATE","REQUIRE_REINSPECTION","CERTIFIED_FOOD_HANDLER","INSPECTION_TYPE"
"86BF1EB9-F088-484C-9725-00014ED539CA","98312352-BEF2-4695-8B7A-2DDAEC387210","2019/07/24","N","No","Compliance Inspection"
"78D6795D-A908-429B-95A4-00057AD61B4E","4AF8E99A-22AD-4FC6-9568-B161A06499CF","2019/08/21","N","No","Re-inspection"
"CB8A02EC-4EE2-4B64-90C2-00075CCC7428","D4FF8AF3-0D41-4F36-9B5E-48E599884E30","2018/11/09","N","No","Compliance Inspection"
"90CB570C-4898-4F0E-977E-001BF93575AC","3A7076E6-7C2C-427D-A107-7EFCB10E2DFE","2019/01/16","N","No","Re-inspection"
"AE6CB55D-FE36-4AD5-91A1-002B902E6FF0","F0C0D913-3724-4ACA-89D2-9E39FF44CF17","2019/09/25","N","No","Compliance Inspection"
"35711E5B-D1BA-41B4-AD87-002DF2C4AE46","0770849D-488C-4274-ABBD-52CEA084934A","2018/05/28","N","Yes","Compliance Inspection"
"869BA8CD-2954-46BC-840A-0032A0C2D7DF","F2089757-4B89-44ED-A734-4ED4CAD5983C","2019/11/21","N","No","Compliance Inspection"
"C4C1F5B9-3BAF-4BCF-84EC-0033A0229A5D","5F734A18-02DA-4A04-B245-EE1EEC1A87C5","2018/10/18","N","No","Compliance Inspection"
"97175752-179E-4CE4-B134-003525DB5E27","01CCA9D5-B23D-4C14-967E-56371D12F02B","2019/09/19","N","No","Re-inspection"
"726E271A-5AA5-453D-AF48-003BACC88847","5F26C369-B94A-40DF-9ADB-FB136C2F5E64","2019/04/09","N","No","Compliance Inspection"
"EF6A158A-BC00-46CC-A7BC-003FE3A75AAA","D16779D7-11BF-4AB8-9187-B0858FD0E15E","2019/12/04","N","No","Compliance Inspection"
"7AA1AD1F-7091-43A6-A57C-004020941E4C","54C44475-2EFB-49CE-9B21-2709E48F0770","2020/01/21","N","No","Compliance Inspection"
"A59D075A-53C4-4AB2-9C9D-004FBE891384","31A40896-60CB-43D9-B479-EEAE27C62721","2019/10/03","N","No","Compliance Inspection"
"27B889F4-5D9D-4B6C-A9AF-005617200DAE","50A6FC16-5B8E-4C50-B5A7-7DF4DC4991A6","2019/05/15","N","No","Compliance Inspection"
"F9A89AD3-27D8-494E-9290-00655A271D97","B97737ED-0E70-4E94-9476-AB14A779F1B7","2020/03/03","Y","No","Compliance Inspection"
"91D93FA3-5331-49C3-A837-00668F11325B","4FE0DC0A-6CB4-422E-A514-96EF34E9C30E","2019/03/14","N","No","Compliance Inspection"
"63EC3FEC-D67C-483E-A7AA-006799CD120A","A40492E5-96BF-4FCA-8F17-FD709F13410A","2019/12/09","N","No","Compliance Inspection"
"F1CE771C-2753-44B6-B377-0067BF38A834","B424B65F-83A2-4CE3-B4B9-252E29A8C6FB","2019/08/22","N","No","Compliance Inspection"
"25C61769-74DA-49E9-B386-0071E3F14F58","D3D497FA-BF7F-469B-BDBF-2B6D359D50DA","2020/01/15","Y","No","Compliance Inspection"
"F2E668D5-FD90-4F97-A6CA-007519EBBF76","19E3C521-7FC1-477D-BAA7-8802C291F2BB","2019/02/05","N","No","Compliance Inspection"
"E7F37F15-1374-4F47-8B24-008061BF3FAB","B844745A-7C90-4514-94EA-0937F5467D8C","2019/08/08","N","No","Compliance Inspection"
"F6795329-2721-4CD6-BEDB-008A68494E69","1971004A-F12A-4E0E-BBAD-9E4CAED5583F","2018/07/04","N","Yes","Compliance Inspection"
"A8F894C8-7F0D-4184-AEF8-008CA0DA050F","C4F98B29-DD34-4AEE-BFBF-9F0691C964FC","2018/07/18","N","No","Compliance Inspection"
"FC02DEC6-2E73-46E4-9278-008FF3DF721C","1F6C5DD1-2D83-472C-A512-2F8FB23C137D","2019/09/16","N","No","Compliance Inspection"
"F4BC18FB-2C64-4A01-BB10-00903FDD6204","48AB49F2-C9E4-4594-9069-C4E5536F4A61","2019/11/07","N","No","Complaint"
"D83F235C-729C-479B-A46E-00926074A727","F382E3BE-47E4-43BD-9A6B-E686034F1F8D","2020/02/12","N","No","Compliance Inspection"
"D61325BE-8040-4066-A66E-0094649CDAC2","2634697D-9962-430E-A877-661C65C3D3B9","2020/03/03","N","No","Compliance Inspection"
"CDD9363A-BF68-4812-9E78-0095F9971100","4A064322-BBF9-48C2-B387-A998EA2B941A","2019/07/15","N","No","Compliance Inspection"
"7D36D441-46B6-46E5-A8E3-009776A0CCF8","6F0D88AC-381E-4AED-8FBD-C1FD58CB7100","2019/03/13","N","No","Compliance Inspection"
"6A9C843D-540E-4BD6-8DAE-0098A643AC09","037FF370-4613-47A4-8565-872EEC8BFECA","2019/08/21","N","No","Compliance Inspection"
"77F2F9B3-F734-47D3-B1E1-009D5379F498","B483B9D1-902D-4116-940D-4785D86E2BD9","2020/01/27","N","No","Compliance Inspection"
"A6182E8F-213C-4C6A-8E55-00A1CFB766C3","531595BD-6EBF-4D03-BB16-98C06C2F1A64","2018/11/09","N","No","Compliance Inspection"
"2F9BB4DF-3260-429D-BA28-00A314444B09","127E6084-FCE2-49E6-A77D-DD5742C4C7CC","2018/05/29","N","Yes","Compliance Inspection"
"2602E0F3-9E01-4D7A-B924-00A353455C20","251EF404-0B50-4F72-AFCF-95E204ADF7CC","2020/03/09","N","No","Compliance Inspection"
"B0E5E6F9-32EF-4072-BBC3-00A7BFFC2910","F9D4B5A0-51A5-464A-A4FE-5D4E841E75EC","2019/10/07","N","No","Compliance Inspection"
"A79E5020-F326-41D0-BC3A-00B13505587A","DCAAC9D4-8C7F-4CC7-8A30-DD90D3A7F279","2019/01/28","N","No","Compliance Inspection"
"196F5F80-8111-4665-9D0D-00BFDC88A846","C8485533-74B8-4664-9763-EBC2D624AB9C","2019/06/24","N","No","Compliance Inspection"
